order_id,customer_name,product,amount,date,year,month
1001,David,Laptop,423672.55384615384,2021-12-17,2021,12
1002,David,Headphones,1125.66,2022-05-19,2022,5
1003,Charlie,Headphones,999999.99,2022-05-19,2022,5
1004,Grace,Webcam,999999.99,2022-05-19,2022,5
1005,Grace,Keyboard,423672.55384615384,2022-05-19,2022,5
1006,Grace,Laptop,423672.55384615384,2021-05-11,2021,5
1007,Alice,Monitor,3415.48,2021-05-11,2021,5
1008,Grace,Laptop,423672.55384615384,2021-05-11,2021,5
1009,Ivy,Keyboard,423672.55384615384,2021-05-11,2021,5
1010,Grace,Charger,-50.0,2021-05-11,2021,5
1011,Bob,Mouse,423672.55384615384,2021-05-11,2021,5
1012,David,Webcam,999999.99,2022-12-19,2022,12
1013,Bob,Keyboard,-50.0,2022-12-19,2022,12
1014,Eve,Webcam,423672.55384615384,2022-12-19,2022,12
1015,Charlie,Webcam,999999.99,2022-12-19,2022,12
1016,Grace,Laptop,2219.49,2022-12-19,2022,12
1017,Bob,Monitor,423672.55384615384,2022-12-19,2022,12
1018,Charlie,Keyboard,999999.99,2022-12-19,2022,12
1019,Jack,Laptop,999999.99,2021-07-21,2021,7
1020,Ivy,Keyboard,423672.55384615384,2021-07-21,2021,7
1021,Ivy,Laptop,999999.99,2021-07-21,2021,7
1022,Bob,Keyboard,423672.55384615384,2021-07-21,2021,7
1023,David,Headphones,-50.0,2021-11-12,2021,11
1024,Ivy,Keyboard,999999.99,2021-07-06,2021,7
1025,Eve,Headphones,423672.55384615384,2021-03-21,2021,3
1026,Ivy,Monitor,423672.55384615384,2021-03-21,2021,3
1027,Ivy,Monitor,423672.55384615384,2021-03-21,2021,3
1028,Bob,Laptop,423672.55384615384,2021-04-11,2021,4
1029,David,Charger,-50.0,2021-04-25,2021,4
1030,Charlie,Laptop,3364.94,2021-04-25,2021,4
1031,Alice,Keyboard,-50.0,2021-03-05,2021,3
1032,David,Laptop,423672.55384615384,2021-04-09,2021,4
1031,Grace,Webcam,423672.55384615384,2021-04-09,2021,4
1032,Jack,Monitor,423672.55384615384,2021-04-09,2021,4
1033,Ivy,Webcam,-50.0,2022-03-06,2022,3
1034,Bob,Keyboard,423672.55384615384,2021-03-11,2021,3
1035,Alice,Charger,-50.0,2021-03-11,2021,3
1035,Alice,Headphones,423672.55384615384,2021-03-11,2021,3
1036,Charlie,Keyboard,666.38,2021-03-11,2021,3
1037,Grace,Laptop,423672.55384615384,2022-11-07,2022,11
1038,David,Charger,423672.55384615384,2021-09-21,2021,9
1039,Grace,Mouse,423672.55384615384,2021-09-21,2021,9
1039,Jack,Keyboard,999999.99,2021-09-21,2021,9
1040,Ivy,Monitor,999999.99,2021-09-21,2021,9
1042,Alice,Headphones,3845.55,2021-04-18,2021,4
1046,Jack,Mouse,-50.0,2021-04-18,2021,4
1047,Jack,Charger,999999.99,2022-10-28,2022,10
1048,Grace,Phone,423672.55384615384,2022-10-28,2022,10
1049,Grace,Mouse,1249.01,2022-09-23,2022,9
1050,Charlie,Mouse,423672.55384615384,2022-09-23,2022,9
